Australian Road Deaths Database: Fatalities,,,,,,,,,,,,,,,,,,,
(Data current to February 2026),,,,,,,,,,,,,,,,,,,
Note: A value of '-9' is used for a missing/unknown value.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Crash ID,State,Month,Year,Dayweek,Time,Crash Type,Bus Involvement,Heavy Rigid Truck Involvement,Articulated Truck Involvement,Speed Limit,Road User,Gender,Age,National Remoteness Areas 2021,SA4 Name 2021,National LGA Name 2021,National Road Type,Christmas Period,Easter Period
9217319252027623543,VIC,10,2023,Monday,17:00:00,Multiple,No,No,No,80,Driver,Male,36,Major Cities of Australia,Melbourne - South East,Casey,Sub-arterial Road,No,No
4199112060155,SA,12,1991,Friday,13:50:00,Single,No,-9,No,110,Driver,Male,34,Unknown,Unknown,Unknown,Unknown,No,No
3200111040252,QLD,11,2001,Sunday,13:00:00,Multiple,No,-9,No,100,Passenger,Female,54,Unknown,Unknown,Unknown,Unknown,No,No
320210249590,QLD,2,2021,Sunday,19:00:00,Single,No,No,No,60,Motorcycle rider,Male,26,Major Cities of Australia,Sunshine Coast,Noosa,Sub-arterial Road,No,No
2201004170077,VIC,4,2010,Saturday,14:16:00,Multiple,No,No,No,80,Motorcycle rider,Male,42,Unknown,Unknown,Unknown,Unknown,No,No
759551182167424584,QLD,10,2024,Thursday,13:00:00,Single,No,No,No,50,Pedestrian,Male,76,Outer Regional Australia,Cairns,Tablelands,Sub-arterial Road,No,No
1199201190027,NSW,1,1992,Sunday,17:10:00,Multiple,No,-9,No,100,Driver,Female,23,Unknown,Unknown,Unknown,Unknown,No,No
3199212220357,QLD,12,1992,Tuesday,09:00:00,Single,No,-9,No,60,Passenger,Male,23,Unknown,Unknown,Unknown,Unknown,No,No
5201508040080,WA,8,2015,Tuesday,21:06:00,Multiple,No,No,No,70,Passenger,Male,20,Major Cities of Australia,Perth - South West,Cockburn,Local Road,No,No
2201001100007,VIC,1,2010,Sunday,06:20:00,Single,No,No,No,100,Driver,Male,62,Unknown,Unknown,Unknown,Unknown,No,No
2199302180049,VIC,2,1993,Thursday,05:00:00,Single,No,No,Yes,110,Passenger,Male,54,Unknown,Unknown,Unknown,Unknown,No,No
1199005190256,NSW,5,1990,Saturday,06:00:00,Multiple,No,-9,No,60,Driver,Male,64,Unknown,Unknown,Unknown,Unknown,No,No
2200212120338,VIC,12,2002,Thursday,08:15:00,Multiple,No,No,Yes,80,Passenger,Male,10,Unknown,Unknown,Unknown,Unknown,No,No
120161107984,NSW,7,2016,Sunday,09:30:00,Single,No,No,No,70,Driver,Male,67,Major Cities of Australia,Central Coast,Central Coast (NSW),Arterial Road,No,No
120201236376,NSW,7,2020,Monday,16:50:00,Single,No,No,No,40,Pedestrian,Male,79,Major Cities of Australia,Sydney - City and Inner South,Sydney,Collector Road,No,No
2199209150254,VIC,9,1992,Tuesday,15:05:00,Single,No,No,No,75,Pedestrian,Male,12,Unknown,Unknown,Unknown,Unknown,No,No
5200707300126,WA,7,2007,Monday,01:00:00,Single,No,No,No,110,Driver,Male,32,Unknown,Unknown,Unknown,Unknown,No,No
320212204040,QLD,11,2021,Friday,08:00:00,Multiple,No,No,No,100,Driver,Male,53,Inner Regional Australia,Central Queensland,Rockhampton,National or State Highway,No,No
3200606200139,QLD,6,2006,Tuesday,14:00:00,Multiple,No,No,No,60,Driver,Female,82,Unknown,Unknown,Unknown,Unknown,No,No
5199402050014,WA,2,1994,Saturday,17:30:00,Single,No,-9,No,110,Passenger,Male,18,Unknown,Unknown,Unknown,Unknown,No,No
520202000231726,SA,10,2020,Thursday,02:00:00,Single,No,No,No,80,Driver,Male,22,Major Cities of Australia,Adelaide - North,Playford,National or State Highway,No,No
4198904180064,SA,4,1989,Tuesday,07:30:00,Single,No,-9,No,60,Pedestrian,Female,80,Unknown,Unknown,Unknown,Unknown,No,No
